term	estimate	std.error	statistic	p.value
(Intercept)	-5780.831358077105	305.81450366112546	-18.903064729993552	5.587301214777609e-55
flipper_length_mm	49.68556640610023	1.5184038638439936	32.72223391233751	4.3706809629959845e-107
